Data publisher,Dataset,Dataset Rights,Collector name,Collector number,Field number,GUID,Date collected,Institution code,Collection code,Catalogue No,Basis of record,Image url,Last indexed,Identifier,Identification date,Scientific name,Author,Scientific name (interpreted),Kingdom,Phylum,Class,Order,Family,Genus,Country,Country (interpreted),Locality,County,Continent or Ocean,State/Province,Region,Publisher country,Latitude,Longitude,Coordinate precision,Cell id,Centi cell id,Min depth,Max depth,Max depth,Min altitude,Max altitude,Altitude precision,GBIF portal url,GBIF webservice url,
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33278,Observation,,2009-08-10 02:23:04.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,,,,,,,,,,,,http://data.gbif.org/occurrences/164923991,http://data.gbif.org/ws/rest/occurrence/get?key=164923991
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33279,Observation,,2009-08-10 02:23:05.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,,,,,,,,,,,,http://data.gbif.org/occurrences/164923992,http://data.gbif.org/ws/rest/occurrence/get?key=164923992
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33276,Observation,,2009-08-10 02:23:04.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,,,,,,,,,,,,http://data.gbif.org/occurrences/164923989,http://data.gbif.org/ws/rest/occurrence/get?key=164923989
National Museum of Natural History,NMNH Vertebrate Zoology Mammals Collections,See: http://www.mnh.si.edu/rc/db/2data_access_policy.html,A. Chapman,2,,,,USNM,Vertebrate Zoology; Mammals,152619.7254799,Specimen,,2009-08-08 16:29:52.0,,,Lynx pardinus,,Lynx pardinus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Spain,Spain,Coto De Donana,Huelva Province,Europe,Andalucia,Southern Europe,United States,,,,,,,,,,,,http://data.gbif.org/occurrences/152018303,http://data.gbif.org/ws/rest/occurrence/get?key=152018303
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33275,Observation,,2009-08-10 02:23:04.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,,,,,,,,,,,,http://data.gbif.org/occurrences/164923988,http://data.gbif.org/ws/rest/occurrence/get?key=164923988
National Museum of Natural History,NMNH Vertebrate Zoology Mammals Collections,See: http://www.mnh.si.edu/rc/db/2data_access_policy.html,A. Chapman,No Number,,,,USNM,Vertebrate Zoology; Mammals,152618,Specimen,,2010-10-16 09:41:48.0,,,Lynx pardinus,,Lynx pardinus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Spain,Spain,Coto De Donana,Huelva Province,Europe,Andalucia,Southern Europe,United States,,,,,,,,,,,,http://data.gbif.org/occurrences/240125639,http://data.gbif.org/ws/rest/occurrence/get?key=240125639
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33573,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Salamanca,Southern Europe,Spain,,,,,,,,,,,,http://data.gbif.org/occurrences/164924286,http://data.gbif.org/ws/rest/occurrence/get?key=164924286
National Museum of Natural History,NMNH Vertebrate Zoology Mammals Collections,See: http://www.mnh.si.edu/rc/db/2data_access_policy.html,A. Chapman,2,,,,USNM,Vertebrate Zoology; Mammals,152619,Specimen,,2010-10-16 09:41:48.0,,,Lynx pardinus,,Lynx pardinus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Spain,Spain,Coto De Donana,Huelva Province,Europe,Andalucia,Southern Europe,United States,,,,,,,,,,,,http://data.gbif.org/occurrences/240125640,http://data.gbif.org/ws/rest/occurrence/get?key=240125640
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33574,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Salamanca,Southern Europe,Spain,,,,,,,,,,,,http://data.gbif.org/occurrences/164924287,http://data.gbif.org/ws/rest/occurrence/get?key=164924287
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33582,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Sevilla,Southern Europe,Spain,,,,,,,,,,,,http://data.gbif.org/occurrences/164924295,http://data.gbif.org/ws/rest/occurrence/get?key=164924295
University Museum of Zoology Cambridge,Zoological specimens,http://www.zoo.cam.ac.uk/museum/collections.archives/academic.use/,,,,,,UCZM,Vertebrates,K.6721,Specimen,,2011-12-15 11:41:57.0,,,Felis pardina,,Felis pardina,ANIMALIA,CHORDATA,MAMMALIA,,FELIDAE,Felis,[Spain],Spain,Tallena; Granada,,,,Southern Europe,United Kingdom,,,,,,,,,,,,http://data.gbif.org/occurrences/240887539,http://data.gbif.org/ws/rest/occurrence/get?key=240887539
American Museum of Natural History,Mammals,The terms and conditions of use of AMNH data are given in the document found at http://research.amnh.org/vertzoo/TandC.pdf.,J. H. Van Alen,,,,,AMNH,Mammal,M-169492,Specimen,,2012-01-23 11:40:05.0,,,Lynx pardinus,,Lynx pardinus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Spain,Spain,Robledo,Toledo,Eurasia,,Southern Europe,United States,,,,,,0,0,,0,0,,http://data.gbif.org/occurrences/213194326,http://data.gbif.org/ws/rest/occurrence/get?key=213194326
University Museum of Zoology Cambridge,Zoological specimens,http://www.zoo.cam.ac.uk/museum/collections.archives/academic.use/,,,,,,UMZC,Zoology,K.6721,Specimen,,2009-09-09 17:18:32.0,,,Felis pardina,,Felis pardina,ANIMALIA,CHORDATA,MAMMALIA,,FELIDAE,Felis,[Spain],Spain,Tallena; Granada,,,,Southern Europe,United Kingdom,,,,,,,,,,,,http://data.gbif.org/occurrences/218901409,http://data.gbif.org/ws/rest/occurrence/get?key=218901409
GBIF-Sweden,Mammals (NRM),,Schimper Wilhelm Philipp,,,NRM:Mammals:595864,,NRM,Mammals,595864,Specimen,,2012-01-23 20:24:32.0,,,Lynx pardinus,,Lynx pardinus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,,,,,South America,,,Sweden,,,,,,,,,,,,http://data.gbif.org/occurrences/142333017,http://data.gbif.org/ws/rest/occurrence/get?key=142333017
National Museum of Natural History,NMNH Vertebrate Zoology Mammals Collections,See: http://www.mnh.si.edu/rc/db/2data_access_policy.html,A. Chapman,No Number,,,,USNM,Vertebrate Zoology; Mammals,152618.7254798,Specimen,,2009-08-08 16:29:52.0,,,Lynx pardinus,,Lynx pardinus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,Spain,Spain,Coto De Donana,Huelva Province,Europe,Andalucia,Southern Europe,United States,,,,,,,,,,,,http://data.gbif.org/occurrences/152018301,http://data.gbif.org/ws/rest/occurrence/get?key=152018301
GBIF-Sweden,Mammals (NRM),,Rodriguez-Arias R.,,,NRM:Mammals:585291,1955-01-31 00:00:00.0,NRM,Mammals,585291,Specimen,,2012-01-23 20:24:32.0,,,Lynx pardinus,,Lynx pardinus,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,,,,,Unknown,,,Sweden,,,,,,,,,,,,http://data.gbif.org/occurrences/142332876,http://data.gbif.org/ws/rest/occurrence/get?key=142332876
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33581,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Sevilla,Southern Europe,Spain,,,,,,,,,,,,http://data.gbif.org/occurrences/164924294,http://data.gbif.org/ws/rest/occurrence/get?key=164924294
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33572,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Salamanca,Southern Europe,Spain,,,,,,,,,,,,http://data.gbif.org/occurrences/164924285,http://data.gbif.org/ws/rest/occurrence/get?key=164924285
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33277,Observation,,2009-08-10 02:23:04.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,,,,,,,,,,,,http://data.gbif.org/occurrences/164923990,http://data.gbif.org/ws/rest/occurrence/get?key=164923990
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33530,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,36.98,-6.58,7071,45533,94,,,,,,,http://data.gbif.org/occurrences/164924243,http://data.gbif.org/ws/rest/occurrence/get?key=164924243
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33380,Observation,,2009-08-10 02:23:06.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,36.97,-6.36,7071,45533,96,,,,,,,http://data.gbif.org/occurrences/164924093,http://data.gbif.org/ws/rest/occurrence/get?key=164924093
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33526,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Granada,Southern Europe,Spain,36.91,-3.73,7071,45536,92,,,,,,,http://data.gbif.org/occurrences/164924239,http://data.gbif.org/ws/rest/occurrence/get?key=164924239
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33523,Observation,,2009-08-10 02:23:08.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Granada,Southern Europe,Spain,36.91,-3.62,7071,45536,93,,,,,,,http://data.gbif.org/occurrences/164924236,http://data.gbif.org/ws/rest/occurrence/get?key=164924236
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33303,Observation,,2009-08-10 02:23:05.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,36.91,-3.84,7071,45536,91,,,,,,,http://data.gbif.org/occurrences/164924016,http://data.gbif.org/ws/rest/occurrence/get?key=164924016
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33302,Observation,,2009-08-10 02:23:05.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,,Southern Europe,Spain,36.82,-3.84,7071,45536,81,,,,,,,http://data.gbif.org/occurrences/164924015,http://data.gbif.org/ws/rest/occurrence/get?key=164924015
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33544,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.62,-7.36,7071,45892,66,,,,,,,http://data.gbif.org/occurrences/164924257,http://data.gbif.org/ws/rest/occurrence/get?key=164924257
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33540,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.71,-7.24,7071,45892,77,,,,,,,http://data.gbif.org/occurrences/164924253,http://data.gbif.org/ws/rest/occurrence/get?key=164924253
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33545,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.62,-7.47,7071,45892,65,,,,,,,http://data.gbif.org/occurrences/164924258,http://data.gbif.org/ws/rest/occurrence/get?key=164924258
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33539,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.35,-7.14,7071,45892,38,,,,,,,http://data.gbif.org/occurrences/164924252,http://data.gbif.org/ws/rest/occurrence/get?key=164924252
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33538,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.26,-7.14,7071,45892,28,,,,,,,http://data.gbif.org/occurrences/164924251,http://data.gbif.org/ws/rest/occurrence/get?key=164924251
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33536,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.89,-7.12,7071,45892,88,,,,,,,http://data.gbif.org/occurrences/164924249,http://data.gbif.org/ws/rest/occurrence/get?key=164924249
GBIF-Spain,Ministerio de Medio Ambiente y Medio Rural y Marino. Dirección General de Medio Natural y Política Forestal. Inventario Nacional de Biodiversidad 2007 Mamíferos,Público,,,,,,ARM,ARM-INB-2007-Mamiferos,33542,Observation,,2009-08-10 02:23:09.0,,,Lynx pardinus,_,Lynx pardinus,Animalia,Chordata,Mammalia,Carnívoros,Felidae,Lynx,ES,Spain,,,Europe,Huelva,Southern Europe,Spain,37.71,-7.35,7071,45892,76,,,,,,,http://data.gbif.org/occurrences/164924255,http://data.gbif.org/ws/rest/occurrence/get?key=164924255
