y;x
45.19167;14.75
50.3079;16.8456
50.2413;16.6524
42.1;0.9
42.1;0.1
49.76;9.42
49.46;6.75
50.76;12.58
50.26;12.25
51.16;14.75
48.16;8.92
47.76;8.58
50.56;8.58
50.36;7.08
49.36;7.58
49.16;8.25
48.96;9.75
48.46;10.92
47.86;11.25
47.66;11.25
53.36;13.25
42.6667;0.9134
42.873;-0.8698
51.0684;20.7371
59.23326;10.47344
62.88244;8.16004
42.42;0.56
42.52;-0.8
42.71;-1.9
42.72;-2.26
42.78;-0.31
45.91379;2.54847
45.90128;1.25864
48.2556;13.4308
48.4608;13.4806
48.9338;4.91337
52.02558;-9.53046
52.56328;4.64635
48.2562;4.6384
52.86087;6.83495
42.14;2.33
58.8236;16.1985
59.739;16.4398
48.01667;8.03194
56.3807;14.00081
52.46255;-1.9264
59.58466;10.87443
55.04735;12.26058
56.20297;9.55392
55.96884;9.34746
55.20981;8.95898
56.66912;9.94008
47.93356;13.68269
59.1015;16.7868
55.7883;-2.07974
52.64954;6.41959
45.36302;1.40324
45.54644;1.65431
46.2236;4.11371
46.9717;3.50049
49.97;5.83
50.479;16.354
45;3.75
42.90972;19.42083
42.61;1.17
42.35;1.78
41.6;9.11667
41.8737;2.4095
42.57111;1.4903
49.86;10.75
49.16;10.75
48.86;8.42
48.56;9.58
51.16;14.92
52.36;10.25
48.46;8.92
50.76;13.08
49.96;12.42
49.36;11.25
48.66;12.92
48.36;8.25
47.86;9.58
50.76;11.08
47.65;13.5833
58.9479;16.0007
58.9413;17.1297
59.3068;14.5842
57.7885;12.3133
57.9649;12.8575
42.91;-1.107
52.49148;-6.72725
56.10514;10.23608
55.2036;11.43363
47.89056;7.65722
48.97333;9.43694
49.07694;7.66111
58.5328;15.5712
56.87931;9.59555
55.6054;8.5785
56.24599;13.19365
50.5116;19.7682
42.1;1.1
56.62275;-5.99441
56.37709;-5.15835
54.04753;-4.82614
46.8351;3.79587
42.6;0.68
42.45;-2.39
47.9582;2.37121
46.6993;5.37736
47.2921;4.01892
42.10341;-8.42555
42.26;2.02
54.15606;-8.01605
53.00711;-7.09947
54.00668;-7.47457
60.2384;6.93058
46.17136;1.25006
58.04275;7.46651
47.49169;10.33221
49.66;11.58
47.86;8.75
50.36;6.25
50.16;8.42
49.16;7.42
48.96;8.92
53.46;7.42
42.8247;-0.7002
42.9732;-2.6076
57.57401;10.26018
55.752;12.53069
59.35;16.5303
57.3372;12.5391
42.5195;-0.538
56.222;15.6772
59.5715;16.6627
59.267;15.3076
56.2057;14.04893
55.68136;9.52211
42.1;-0.1
52.16258;-7.8451
50.36194;-4.74201
47.1403;3.17696
48.0644;13.1625
46.44679;1.63211
42.59;-0.19
42.18;2.63
49.11528;13.27361
50.27;18.67
56.85611;9.86219
42.5077;0.2128
55.15016;-3.49088
59.5954;13.7315
57.682;11.9562
55.2057;10.09556
55.35889;11.84924
50.66;12.08
50.36;11.42
52.96;10.92
51.56;10.42
47.86;8.25
47.56;7.75
50.96;11.92
50.76;11.75
50.26;10.42
49.56;8.58
48.86;11.75
48.26;9.58
48.06;11.92
47.46;13.08
50.86;14.75
53.3485;11.4153
56.72715;-5.51476
56.46257;-5.32785
50.29311;-3.61467
42.7707;0.7022
49.76;12.42
48.76;8.92
51.86;10.58
50.96;13.58
49.66;10.58
51.96;9.58
48.36;9.25
50.46;9.58
49.26;10.08
49.06;10.42
48.56;11.75
47.76;7.92
47.76;12.42
60.47699;11.24062
45.54921;1.9106
48.2389;13.1372
51.75196;-9.81083
53.07466;6.68486
58.9213;16.8685
57.5169;14.5379
58.608;16.2762
58.7631;11.9014
57.2364;12.8596
52.28717;-6.74118
58.2139;15.0082
56.47881;9.82979
56.44322;9.65038
56.04237;12.04229
36.74626;-4.10037
56.1585;13.68339
52.88953;6.25825
49.54;6.1
59.89378;10.47444
56.6688;16.3384
54.14723;-4.37345
55.56958;-5.09317
59.77587;10.83664
56.07232;13.30215
58.24516;7.93481
50.91721;14.22978
47.0453;4.01236
42.5132;-1.4541
42.4393;1.3222
58.0169;12.6297
58.7848;14.0804
59.6558;17.3866
58.4243;16.3102
44.13;-6.37
42.89;-1.89
42.17;1.54
42.96;0.3
45.46224;2.29621
50.46;10.92
51.36;9.92
52.66;11.08
51.76;11.08
47.66;10.08
50.76;8.75
50.06;11.25
49.76;11.92
48.66;9.25
50.86;11.42
60.40055;25.73609
56.53224;8.45075
48.7498;1.18569
46.1738;4.28057
46.00162;2.16009
45.72489;1.52138
49.09417;12.30806
59.7565;18.7172
59.4745;16.8476
58.9239;16.478
59.46194;11.63538
50.3829;18.9435
49.8119;19.5583
58.07353;7.0842
48.17;5.64894
50.25754;-5.29734
52.87674;0.89803
59.74919;10.20477
47.1773;4.78729
59.0052;17.4367
59.3913;17.0152
59.1342;17.8359
59.218;18.1912
59.8218;16.1406
49.86;10.42
50.56;10.25
50.86;13.92
51.16;9.08
50.76;6.25
50.66;13.42
50.46;12.25
49.46;11.42
49.26;12.58
47.86;9.25
47.66;9.42
53.66;7.58
50.86;8.25
43.26477;-8.36546
42.77;0.06
52.86912;1.19478
51.4261;19.87038
48.09309;10.55861
49.56;7.92
50.56;13.25
50.46;10.58
50.66;11.25
53.56;7.25
52.86;8.42
47.76;9.75
50.16;11.42
48.96;10.92
48.76;11.08
48.26;10.58
47.36;11.25
51.86;7.75
46.4097;4.73303
45.18631;1.66299
45.7095;0.62179
59.31854;10.81222
48.7725;8.73611
49.52833;9.62306
57.7619;14.2962
58.1018;14.1695
55.22345;9.40024
59.1108;17.6599
50.46866;-3.90251
42.97;-1.28
42.8;-1.41
45.99499;1.51412
45.28027;2.04341
35.64676;139.27285
49.1167;4.12578
36.29;-5.288
51.09786;-3.92823
49.76;12.25
50.56;11.75
50.56;12.75
51.96;12.25
51.96;7.42
50.66;10.58
50.46;9.25
49.06;10.25
48.56;11.58
47.76;12.25
57.6703;12.9385
42.4;1.6
56.3857;15.1747
57.0414;15.3697
48.5775;8.19222
54.41664;-4.38899
50.92035;-3.77858
47;6.08333
48.1369;0.83477
46.9462;4.30719
47.436;4.33612
45.3569;1.02016
45.28216;2.29848
41.8;9.23333
60.37037;5.41776
48.86;10.25
50.56;11.58
50.56;12.58
52.16;7.92
50.66;8.25
50.46;6.58
49.86;9.08
49.36;12.92
48.56;8.75
48.36;10.08
47.86;11.42
47.76;10.42
42.5567;0.3812
49.5036;19.1014
48.2393;2.89636
60.0176;15.7914
55.62665;9.26474
42.8;-1.65
42.9;-9.24
50.7099;20.9318
48.2166;16.3666
50.35462;23.45239
49.56;10.92
53.56;9.08
51.86;10.75
48.06;9.25
47.76;11.92
51.06;8.08
50.36;10.75
50.06;6.75
49.16;11.08
48.96;11.92
51.56;7.58
50.26516;-5.01715
59.78957;5.50444
48.2964;13.6969
48.9121;1.68446
52.64442;-7.33511
50.08181;-5.14544
59.3428;17.6698
49.8588;20.2513
59.1131;11.41635
47.99611;7.85028
43.77;-6.39
54.92162;9.57432
52.40767;1.60256
55.59081;13.20123
50.76;9.92
51.16;10.08
47.86;11.75
49.26;12.75
49.06;13.08
48.46;8.42
53.66;12.08
45.81933;1.90527
45.53694;1.01374
46.36269;2.28462
42.89889;19.62611
57.3914;13.4344
47.48064;9.69618
51.1346;19.0749
49.75;15
45.36637;1.65867
46.34934;1.1143
49.06;10.08
51.56;13.75
47.56;8.42
50.96;13.08
50.76;12.25
49.96;11.42
49.66;9.08
49.36;10.42
48.86;12.25
48.66;12.08
48.06;12.42
51.16;7.42
50.76;10.25
48.4403;3.20374
56.41285;-3.05359
56.2734;14.5023
58.3584;12.4897
51.26243;4.07624
42.3;-0.22
46.45694;11.25917
56.21236;-4.49952
59.36117;11.31897
49.77724;20.97062
54.60026;-6.90218
56.83542;10.24469
48.06;10.08
50.06;7.08
49.16;11.42
48.76;12.75
51.56;8.58
55.26556;9.91354
47.1254;4.28107
58.7511;17.066
57.4325;12.9471
53.25924;-0.27582
56.18905;-5.46536
56.76489;-3.71791
52.64182;-1.63049
56.1545;15.1126
56.1958;15.2858
44.13;-6.62
46.8999;4.47816
48.66;8.42
53.36;7.75
53.06;9.75
51.76;9.92
47.96;8.92
47.66;8.92
51.06;13.75
50.76;6.92
50.26;6.75
50.06;9.58
48.86;8.25
48.36;11.92
47.56;10.58
51.36;7.42
50.86;10.42
45.73311;2.42135
55.99484;9.72468
50.2919;19.241
50.14;19.02
50.3351;19.5963
0;0
46.51895;11.49917
50.73333;-4.19669
51.97516;-4.9851
52.17106;-4.26682
42.41957;-8.66576
47.5492;2.64949
45.98468;0.86836
52.35445;-6.95869
52.14449;6.87083
49.66;11.25
47.96;8.42
50.46;12.92
50.16;8.08
49.16;6.75
42.4042;2.2709
48.4539;4.97429
58.57509;8.96112
55.55893;11.88994
56.23839;10.6181
56.18028;12.81127
57.26841;10.19818
48.16639;8.53083
52.34535;-6.52601
51.91121;-0.32794
41.1;2.1
42.96;0.67
50.75401;-1.92911
51.39138;5.9821
54.35127;-7.36972
49.06;11.75
51.66;14.58
48.46;10.75
47.56;12.75
50.96;14.92
50.16;7.42
49.86;7.08
49.36;12.08
48.66;13.75
56.1979;15.9058
58.2542;16.5001
58.5824;13.0723
58.8871;17.6218
59.1922;18.3645
52.24437;-7.20892
55.38032;10.1168
49.8518;19.1347
42.44;-2.14
53.06;8.58
51.76;9.58
47.66;8.75
50.76;6.75
50.26;6.42
50.06;9.25
48.96;13.58
48.36;11.58
51.36;6.92
55.6507;-3.21183
50.08333;17.58333
57.9085;13.2806
58.0173;14.8738
57.44408;-2.39239
56.89487;9.08445
50.55611;7.55278
61.22998;5.84239
51.68034;-9.46819
54.44349;-7.89285
49.56;7.42
48.16;11.25
50.36;7.75
49.16;9.58
48.76;10.58
51.96;7.08
51.94702;-1.36777
53.7485;11.7486
38.9333;-77.0083
56.37178;9.35273
47.43942;10.13736
58.2161;12.2765
58.107;13.4856
56.426;16.4206
59.05784;9.13076
52.00649;-3.23848
51.26;10.25
53.16;7.92
52.56;10.25
50.96;8.58
49.96;8.25
49.36;8.42
48.66;10.75
48.06;11.08
51.26;9.58
53.07466;-8.88103
52.28101;-7.37801
46.08946;1.89988
55.85499;14.14526
55.83889;13.96942
56.0516;14.6075
52.68959;1.18165
57.2459;17.0024
54.94873;-7.17979
50.2393;17.017
52.83771;6.47798
50.20173;22.75211
49.56;10.75
49.46;9.42
47.56;7.58
62.73797;8.5232
45.53212;0.75757
55.94349;12.91866
49.5;21.5
55.00011;10.53426
53.51915;-3.01063
59.2542;17.2661
54.25911;-7.80817
56.29138;-4.98961
50.4867;16.8231
51.33695;5.66079
52.44333;-4.13362
50.36;7.58
47.66;11.75
52.16;11.58
56.33456;14.79834
55.81528;12.03437
60.399;17.5724
53.69683;9.63946
51.5554;-0.62955
51.82813;-0.91155
51.74055;-1.20336
52.14168;6.12354
52.7256;6.66668
51.16;14.25
52.36;7.92
49.96;11.75
49.66;10.25
49.36;10.75
48.86;12.58
48.66;12.42
48.06;12.75
53.53506;-9.28797
58.6754;16.7318
58.0892;13.1135
47.1662;4.52273
49.23333;-121.76667
51.0672;16
59.8449;17.6197
48.37778;7.90222
48.04639;8.70083
52.36;7.75
51.56;14.75
50.96;13.25
49.56;9.25
48.66;12.25
51.16;7.75
50.6156;18.8979
50.8753;18.4165
52.33683;-7.78727
54.34742;-2.84621
63.43267;10.34272
54.63889;-8.47543
53.26;7.58
52.06;11.25
51.36;13.75
50.66;9.58
50.96;7.42
55.63492;14.12263
59.1225;16.9621
57.2306;13.0787
52.12942;-7.67217
48.3906;0.23987
51.018;18.1303
42.1;-0.9
49.169;4.76192
55.51667;-2.71273
56.22119;-4.01612
46.5167;4.56528
52.06;10.58
51.36;11.08
49.46;7.25
48.76;10.08
48.56;10.25
50.96;7.25
55.45619;13.71093
59.41869;10.60591
56.7336;12.896
59.6216;17.6667
58.878;16.6505
46.65556;11.14278
50.54162;-4.75242
49.47743;20.43862
47.6686;5.30559
45.82154;2.16283
59.1799;14.8313
55.85067;13.65884
63.08359;7.76787
49.46;9.92
49.16;11.25
47.56;7.92
51.56;8.25
51.97139;1.13048
51.19579;-0.64025
52.12858;4.40142
51.16;10.42
48.26;9.75
50.56;6.25
