name;lon;lat
Adiantum capillus;-2,02;36,90
Adiantum capillus;-2,47;36,86
Adiantum capillus;-2,67;37,00
Adiantum capillus;-2,07;37,39
Adiantum capillus;-2,66;36,87
Adiantum capillus;-2,49;36,86
Adiantum capillus;-1,85;37,34
Adiantum capillus;-2,40;36,95
Adiantum capillus;-2,40;36,95
Adiantum capillus;-2,82;36,97
Adiantum capillus;-2,87;36,83
Adonis microcarpa;-2,09;37,09
Adonis microcarpa;-1,80;37,31
Adonis microcarpa;-2,39;37,04
Adonis microcarpa;-1,90;37,20
Adonis microcarpa;-2,45;36,83
Adonis microcarpa;-2,33;37,04
Adonis microcarpa;-2,66;36,78
Adonis microcarpa;-2,31;37,08
Adonis microcarpa;-2,21;36,95
Adonis microcarpa;-2,44;36,86
Allium roseum;-2,88;36,97
Allium roseum;-2,57;36,91
Allium roseum;-1,93;36,97
Allium roseum;-2,70;36,86
Allium roseum;-2,00;37,00
Allium roseum;-2,71;36,87
Allium roseum;-2,02;37,11
Allium roseum;-2,70;36,86
Allium roseum;-2,10;36,86
Allium roseum;-1,94;37,01
Allium roseum;-1,93;36,97
Alyssum montanum;-2,84;36,91
Alyssum montanum;-2,51;37,26
Alyssum montanum;-2,41;37,26
Alyssum montanum;-2,48;37,28
Alyssum montanum;-2,80;36,90
Alyssum montanum;-2,86;36,94
Alyssum montanum;-2,81;36,88
Alyssum montanum;-2,84;36,91
Alyssum montanum;-2,84;36,91
Alyssum montanum;-2,88;36,90
Alyssum simplex;-2,40;36,99
Alyssum simplex;-2,10;37,09
Alyssum simplex;-2,85;36,81
Alyssum simplex;-2,92;36,98
Alyssum simplex;-2,80;36,90
Alyssum simplex;-2,89;36,84
Alyssum simplex;-2,79;36,88
Alyssum simplex;-2,01;37,21
Alyssum simplex;-2,40;37,10
Alyssum simplex;-1,80;37,31
Alyssum simplex;-2,79;36,85
Alyssum simplex;-2,42;37,38
Alyssum simplex;-2,89;36,84
Anthyllis cytisoides;-2,53;37,13
Anthyllis cytisoides;-2,58;37,32
Anthyllis cytisoides;-1,75;37,30
Anthyllis cytisoides;-2,07;37,41
Anthyllis cytisoides;-2,61;36,77
Anthyllis cytisoides;-2,76;37,06
Anthyllis cytisoides;-2,71;36,86
Anthyllis cytisoides;-1,97;37,36
Anthyllis cytisoides;-2,45;36,83
Anthyllis cytisoides;-1,97;36,98
Anthyllis cytisoides;-2,52;37,37
Anthyllis cytisoides;-2,40;37,35
Anthyllis cytisoides;-1,96;37,16
Anthyllis cytisoides;-2,44;37,35
Anthyllis cytisoides;-1,86;37,06
Anthyllis cytisoides;-2,08;36,92
Anthyllis cytisoides;-1,94;37,03
Anthyllis cytisoides;-2,40;37,35
Anthyllis cytisoides;-2,40;36,99
Anthyllis terniflora;-2,58;37,38
Anthyllis terniflora;-1,98;37,17
Anthyllis terniflora;-2,41;36,83
Anthyllis terniflora;-2,46;37,02
Anthyllis terniflora;-2,46;37,02
Anthyllis terniflora;-2,41;36,83
Anthyllis terniflora;-2,07;37,41
Anthyllis terniflora;-1,99;37,22
Anthyllis terniflora;-2,41;36,83
Anthyllis terniflora;-2,76;36,99
Anthyllis terniflora;-2,67;36,99
Anthyllis terniflora;-2,36;37,07
Anthyllis terniflora;-2,45;36,83
Anthyllis terniflora;-2,07;37,41
Anthyllis terniflora;-2,40;37,35
Anthyllis terniflora;-2,07;37,41
Anthyllis terniflora;-2,46;37,02
Anthyllis terniflora;-2,40;37,35
Anthyllis terniflora;-2,41;36,83
Anthyllis terniflora;-2,00;37,30
Anthyllis terniflora;-2,41;36,83
Anthyllis terniflora;-2,22;37,36
Anthyllis terniflora;-2,46;37,02
Anthyllis terniflora;-1,91;37,44
Anthyllis terniflora;-2,36;37,07
Anthyllis terniflora;-2,46;37,02
Anthyllis terniflora;-2,49;36,95
Anthyllis vulneraria;-2,86;36,87
Anthyllis vulneraria;-2,67;36,88
Anthyllis vulneraria;-2,90;36,94
Anthyllis vulneraria;-2,33;37,21
Anthyllis vulneraria;-2,06;37,51
Anthyllis vulneraria;-2,27;37,03
Anthyllis vulneraria;-2,61;37,26
Anthyllis vulneraria;-2,88;36,93
Anthyllis vulneraria;-2,84;36,91
Anthyllis vulneraria;-2,00;37,10
Anthyllis vulneraria;-2,10;37,30
Anthyllis vulneraria;-2,71;36,86
Anthyllis vulneraria;-2,77;36,86
Anthyllis vulneraria;-2,27;37,02
Anthyllis vulneraria;-2,41;37,26
Anthyllis vulneraria;-1,98;37,20
Anthyllis vulneraria;-2,83;36,85
Anthyllis vulneraria;-2,09;37,50
Anthyllis vulneraria;-2,06;37,51
Anthyllis vulneraria;-2,84;36,91
Anthyllis vulneraria;-2,70;36,94
Antirrhinum hispanicum;-2,67;36,88
Antirrhinum hispanicum;-2,48;36,85
Antirrhinum hispanicum;-2,67;37,00
Antirrhinum hispanicum;-2,60;36,88
Antirrhinum hispanicum;-2,60;36,88
Antirrhinum hispanicum;-2,47;36,85
Antirrhinum hispanicum;-2,64;36,85
Antirrhinum hispanicum;-2,78;36,84
Antirrhinum hispanicum;-2,97;36,81
Antirrhinum hispanicum;-2,81;36,84
Antirrhinum hispanicum;-2,86;36,83
Antirrhinum hispanicum;-2,94;36,89
Antirrhinum hispanicum;-2,87;36,83
Antirrhinum hispanicum;-2,73;36,88
Antirrhinum hispanicum;-2,47;36,84
Antirrhinum hispanicum;-2,74;36,97
Antirrhinum hispanicum;-2,97;36,81
Antirrhinum hispanicum;-2,67;37,00
Antirrhinum hispanicum;-2,55;36,86
Antirrhinum hispanicum;-2,96;36,84
Arenaria armerina;-2,78;36,87
Arenaria armerina;-2,16;37,68
Arenaria armerina;-2,88;36,92
Arenaria armerina;-2,54;37,22
Arenaria armerina;-2,81;36,88
Arenaria armerina;-2,79;36,89
Arenaria armerina;-2,79;36,88
Arenaria armerina;-2,22;37,68
Arenaria armerina;-2,79;36,88
Arenaria armerina;-2,94;37,05
Arenaria armerina;-2,84;36,91
Arenaria armerina;-2,75;36,86
Arenaria armerina;-2,51;37,26
Arenaria armerina;-2,94;37,05
Arenaria grandiflora;-2,77;36,88
Arenaria grandiflora;-2,50;37,27
Arenaria grandiflora;-2,76;36,86
Arenaria grandiflora;-2,77;36,88
Arenaria grandiflora;-2,79;36,89
Arenaria grandiflora;-2,84;36,88
Arenaria grandiflora;-2,79;36,89
Arenaria grandiflora;-2,77;36,88
Arenaria grandiflora;-2,75;36,91
Arenaria grandiflora;-2,76;36,86
Arenaria grandiflora;-2,80;36,90
Arenaria grandiflora;-2,41;37,26
Arenaria grandiflora;-2,79;36,88
Arenaria grandiflora;-2,84;36,88
Arenaria montana;-2,69;36,92
Arenaria montana;-2,69;36,92
Arenaria montana;-2,64;36,85
Arenaria montana;-2,64;36,85
Arenaria montana;-2,08;36,79
Arenaria montana;-2,69;36,92
Arenaria montana;-1,84;37,22
Arenaria montana;-2,57;36,91
Arenaria montana;-2,70;36,87
Arenaria montana;-2,09;37,50
Asperula aristata;-2,55;37,37
Asperula aristata;-2,45;36,83
Asperula aristata;-2,81;36,84
Asperula aristata;-2,84;36,91
Asperula aristata;-2,81;36,84
Asperula aristata;-2,52;37,24
Asperula aristata;-2,71;36,87
Asperula aristata;-2,84;36,91
Asperula aristata;-2,23;37,75
Asperula aristata;-2,73;36,89
Asperula aristata;-1,97;36,98
Asperula aristata;-2,60;36,89
Asperula aristata;-2,48;36,86
Asperula aristata;-2,44;37,32
Asperula aristata;-2,45;36,83
Asperula aristata;-2,81;36,84
Asperula aristata;-2,60;36,89
Asphodelus tenuifolius;-2,45;36,83
Asphodelus tenuifolius;-2,69;36,82
Asphodelus tenuifolius;-1,74;37,31
Asphodelus tenuifolius;-1,88;37,04
Asphodelus tenuifolius;-1,97;37,36
Asphodelus tenuifolius;-2,49;36,83
Asphodelus tenuifolius;-1,94;37,01
Asphodelus tenuifolius;-2,60;36,82
Asphodelus tenuifolius;-2,09;37,50
Asphodelus tenuifolius;-2,45;36,83
Asphodelus tenuifolius;-2,64;36,84
Asphodelus tenuifolius;-1,88;37,04
Asphodelus tenuifolius;-2,49;36,83
Asphodelus tenuifolius;-2,60;36,82
Asphodelus tenuifolius;-2,37;36,85
Astragalus incanus;-2,78;36,96
Astragalus incanus;-2,67;37,21
Astragalus incanus;-2,32;37,36
Astragalus incanus;-1,90;37,20
Astragalus incanus;-2,65;36,90
Astragalus incanus;-2,81;36,87
Astragalus incanus;-2,68;36,96
Astragalus incanus;-2,76;36,88
Astragalus incanus;-2,76;36,86
Astragalus incanus;-1,74;37,31
Astragalus incanus;-2,60;37,20
Astragalus incanus;-2,38;37,36
Astragalus incanus;-1,99;37,04
Astragalus incanus;-2,84;36,91
Astragalus incanus;-1,74;37,31
Astragalus incanus;-2,65;36,90
Astragalus incanus;-2,61;37,25
Astragalus incanus;-2,83;36,85
Biscutella sempervirens;-2,80;36,84
