y;x
-36.17748;149.88279
-31.86948;151.64637
-30.08661;152.37526
-29.05147;152.94659
-13.7285;132.7011
-13.1616;135.859
-24.08443;132.65436
-13.9075;136.81783
-11.80833;133.65333
-24.29858;132.30129
-12.59067;132.35034
-12.41489;132.3707
-21.14857;132.25126
-12.88873;132.9178
-25.8498;133.2938
42.85;-3.92
43.1;-5.4
40.96;-1.99
42.39;-7
43.09;-5.89
41.41;-4.14
41.68;-4.62
50.95;84.75
-19.94599;134.18005
47.88348;4.67251
48.15982;4.14321
46.80152;4.77028
47.8149;7.34479
47.59942;5.46236
46.33377;0.33451
48.78297;4.70133
45.28129;2.17094
48.46918;-2.89026
48.21934;-2.45735
47.51717;5.05979
48.1514;4.81549
47.27563;-1.30114
45.81933;1.90527
44.89081;5.72368
47.52353;4.66125
44.19886;1.93649
46.8069;1.62303
45.46137;2.16826
48.16212;3.87424
45.46034;3.95969
48.49591;5.63985
49.51431;3.06902
44.52775;5.83209
46.0747;5.13514
48.13623;5.62188
47.33221;0.68238
46.53146;4.7615
48.31301;5.76564
46.58662;-0.33136
45.34671;0.50954
46.24674;5.53139
48.12658;6.02487
45.99323;4.61505
48.41678;5.09504
46.81498;3.19673
43.3646;5.52816
43.48267;2.44399
47.9999;-3.24144
46.50395;-0.06529
47.96704;5.07726
44.63209;5.20663
46.60375;0.32128
47.76686;6.00442
46.90517;2.93431
46.27398;2.5455
48.93558;6.07192
47.32949;5.44998
46.34712;0.9843
48.29918;-0.3047
48.33514;4.55189
47.52702;4.39551
47.25157;4.7851
48.99243;7.1696
47.98958;7.49339
44.16464;5.93911
45.99131;1.25579
45.27474;1.53332
47.70701;4.40023
46.9898;4.11845
48.07422;-1.63508
48.71009;-3.46277
43.8591;7.04383
46.3274;5.92531
45.54308;1.39806
43.17554;0.11119
47.35486;2.66882
46.06378;0.34761
46.42377;5.66988
47.28966;6.90479
48.18398;7.10569
48.30287;6.16996
46.63087;2.01966
47.5349;2.6677
47.16533;4.51817
49.33361;3.48142
47.78208;5.33722
47.62536;2.93343
48.49477;-2.35037
47.26514;3.19838
48.78809;4.2931
43.19514;0.97123
48.05992;-3.78731
46.78672;0.4434
47.63516;7.33014
44.17405;0.43581
48.36577;-3.14948
46.906;-1.53489
47.71485;-1.60378
47.42893;-1.97789
43.96629;6.55244
47.07156;4.77914
45.81126;1.26148
47.77341;5.73759
47.69941;4.93346
47.94376;-2.56323
48.82198;6.88321
43.66317;2.56619
46.3274;0.07469
46.88225;0.70164
47.95635;5.61298
46.96955;5.43366
45.07382;0.39455
47.84187;-0.54387
48.64858;-2.9105
46.06953;0.60621
47.65794;6.66501
43.57263;3.55688
48.34408;-3.55314
42.72285;0.01163
48.18858;-0.97131
44.71085;5.71497
48.35891;-1.25454
45.88378;0.35627
45.87408;-0.03026
45.73443;2.80711
44.06773;6.18395
49.51101;3.89717
47.68673;-2.26914
48.60111;4.83108
45.62213;0.75393
45.42417;6.00573
47.03641;6.35914
44.12404;7.18781
43.75188;3.68277
46.57024;-0.85316
46.72099;-1.65057
43.59838;-0.77753
47.97987;1.86067
49.39762;5.54824
46.88982;-1.92824
48.60498;4.55989
48.07507;-3.51975
44.35398;5.57234
48.51967;4.15105
47.55938;6.92451
47.33478;5.18526
46.24955;0.59834
47.70352;4.66686
43.75004;3.93103
47.75971;-0.27119
45.24755;5.86866
44.20314;2.56206
43.9276;1.81701
43.01294;0.85501
47.17301;2.27385
44.83112;2.17758
44.7756;6.6036
48.41849;-3.83372
46.62342;1.36624
44.22319;6.94446
62.57925;10.28738
60.33401;11.97975
59.22302;11.40521
58.7492;7.59354
69.47647;25.13021
61.01124;11.17907
63.45829;9.79831
61.22234;10.04272
59.34734;11.03633
61.77386;11.17029
61.7621;11.86131
60.29872;11.54773
61.24874;10.4853
64.5288;13.40773
60.35271;12.50426
62.11058;8.95402
62.35414;10.77924
60.67566;12.124
68.90616;24.34773
61.82309;10.98113
-25.76601;133.60075
-24.34058;131.68029
-23.80939;133.77905
43.533;-1.05
52.283;-8.65
45.7264;13.7294
62.16667;-139.16667
63.8925;-147.02889
61.55;-153.53333
64.23639;-147.74056
64.28333;-146.33333
68.23333;-152.7
67.75;-151.45
65.75;-142.16667
67;-151.66667
65.33333;-141.5
65.28194;-126.82917
56.33333;-133.3
65.53333;-117.51667
62.7;-112.3
64.81667;-116.25
65.65;-116.2
-31.25932;152.78577
-33.81885;150.26639
-33.67125;151.10918
-28.85529;152.33657
-35.60917;149.51616
-36.98138;149.73212
-30.49765;152.96044
-32.74815;150.94015
-31.3215;152.96449
-35.79422;148.84624
-32.51527;150.31081
-33.21063;151.09289
-33.89559;150.97417
-28.33211;153.54483
-29.93767;153.14666
-31.3633;151.87603
-30.2428;152.77242
-32.0258;152.44365
29.72809;34.97268
31.40142;35.3777
30.04474;34.97713
32.76054;35.68336
32.84272;35.45297
-37.26617;149.58233
-36.97004;149.43335
-28.38644;153.06537
-37.15722;149.92347
-33.61543;151.30117
-33.9824;147.14955
-32.58624;150.54991
-32.96502;150.37344
-36.7618;149.00109
-36.62204;149.41416
-28.93488;152.14499
-34.92212;150.55256
-35.27398;150.42307
-28.50304;153.30547
-32.67855;152.17684
-32.37878;150.68963
-32.47396;151.69161
-32.12061;150.71699
-34.20327;149.90595
-29.58661;153.32404
-36.13972;149.48387
-32.4358;151.99605
-29.6397;152.88442
-30.10774;153.18211
-28.69613;153.40897
55.6667;-124.4833
42.58982;-72.68852
-30.55121;152.67474
-33.77934;142.36492
-30.6417;148.82631
-34.22074;150.1872
-34.45345;150.7241
-32.9607;151.46199
-34.03078;150.46796
-31.84581;152.43346
-37.37012;149.94979
-28.81141;152.76946
-29.32928;151.91061
-32.16582;152.2603
-28.93765;153.18221
-32.83148;151.73004
-29.14276;153.25169
-34.58591;150.1166
-29.43745;152.83659
-33.39946;151.028
-35.88536;148.45582
-33.82861;150.01671
-33.17539;151.5167
-33.36365;150.04241
-35.27231;148.63396
-28.62363;152.74992
-31.12838;152.5637
-30.89632;152.99167
-35.95053;149.29579
-33.42268;150.54431
-29.09343;153.42856
48.53;9.52
-35.73943;148.12966
46.1588;-84.3636
59.43127;11.57391
60.8111;11.54679
60.11689;12.40985
60.44424;12.26996
61.04236;10.9034
60.09149;11.62525
62.14521;11.30813
45.07382;5.60545
46.45133;-1.62756
48.53805;-3.30561
46.78672;5.5566
46.6194;1.10493
47.86335;0.25778
48.59773;-3.85717
49.21183;5.81369
48.38122;6.58023
44.34111;6.07379
46.60375;5.67872
46.09388;3.45301
46.44827;1.76237
47.14953;5.44179
43.46493;5.03829
48.52368;3.60941
47.94644;-4.17618
45.19343;2.55429
46.79479;5.16349
47.97849;4.27335
43.88788;6.17392
47.1572;5.04602
47.51717;0.94021
45.807;1.00402
48.61517;2.93217
49.06157;3.88939
45.46297;3.57583
45.68693;-0.27718
47.59031;5.86134
47.00594;-1.27964
45.82315;2.42041
48.20001;-2.86017
47.84583;6.41031
44.33382;6.32443
45.08208;5.22438
43.75103;2.1931
46.9853;4.51311
48.02167;6.55591
48.82114;-3.06668
45.90658;1.64552
48.92035;6.61734
45.2538;5.61386
44.92418;2.93663
45.97953;5.38987
44.51369;6.33502
47.63516;-1.33014
46.61225;5.28695
42.93935;1.95957
47.31002;6.24378
47.43989;4.12784
46.96813;-2.19898
49.41408;1.41562
44.32181;6.70026
45.6075;0.1127
42.67323;2.45171
44.83328;3.44285
48.42124;4.82481
49.20152;6.22502
45.3521;0.76483
48.20146;6.56802
48.48228;-2.62038
47.24924;-1.96123
46.39467;-0.71047
58.98727;11.62598
61.75044;10.50562
41.24;-3.18
40.87;-4.48
41.66;-5.34
40.59;-4.6
41.96;-3.66
42.38;-6.63
42.48;-7.24
41.77;-2.1
41.84;-5.71
50.417;8.13333
44.95;1
48.383;9.75
-25.99857;133.51796
-21.8147;133.7293
-13.7915;131.353
-24.08704;132.82579
-11.16967;130.4075
-19.14858;131.35125
-23.67885;133.27288
-20.53773;130.31786
51.06667;10.73333
47.75;19.05
-29.85;152.77205
-28.35391;152.56969
-32.99753;150.98324
-37.11294;149.2375
-31.65001;152.37777
-29.39238;153.36076
-33.62118;150.8074
-34.01468;151.16007
-36.70149;148.24937
-36.68498;149.8887
-36.0768;148.50541
46.02956;-78.48236
-33.16106;150.07851
-34.01794;150.04299
-28.61923;152.48981
-34.13396;150.74836
-29.57687;152.20712
-30.75524;152.71585
-31.70491;152.65156
-32.57471;149.57484
-30.89816;151.92335
-33.35755;150.82294
-31.67923;151.7045
-29.70271;152.59481
-32.1404;151.47963
-36.52587;148.26009
-32.31371;152.51775
-36.70245;148.76448
-30.51118;142.89226
-34.22851;150.54423
-34.48655;147.1881
-35.95776;148.13904
-32.17653;150.99063
-31.26777;146.38232
-36.34626;149.3511
-31.54951;150.84795
-36.10207;147.02974
61.11667;-159.13333
65.01667;-149.55
69.33333;-154.66667
56.0113;-132.9609
65;-141.33333
60.33333;-150
64.13333;-118.23333
30.67997;35.21986
-35.45753;149.71872
-35.65291;150.28696
-33.54663;150.28143
-33.21074;151.30165
-32.43507;151.47504
-31.30134;150.66235
-30.41367;152.30038
-30.27722;153.14041
32.8667;22.1667
42.3;-5
43;-6.24
38.17;-4.31
38.17;-4.08
42.13;-7.85
43.29;-5.28
41.5;-4.5
41.84;-6.29
-25.49857;132.96796
-24.94659;131.1983
-20.94859;130.41794
-16.27055;137.73317
-12.50159;131.00721
-14.20983;136.9335
-29.78696;152.10041
-30.91203;149.69455
30.41224;34.55063
47.35214;2.13895
45.06426;0.01361
46.86728;0.04551
47.24946;1.08272
48.28814;-4.49364
48.76856;5.51751
47.3538;3.59612
46.90427;2.5402
47.25851;4.25629
46.76655;-0.34242
48.53858;-1.26913
47.50945;0.54178
46.50737;5.93497
49.24465;3.06866
46.43223;0.72059
50.051;3.7672
45.04948;-0.4941
43.45733;0.59133
47.52983;-1.72097
46.05404;-0.04019
45.64408;3.32095
48.94537;5.66267
48.4348;2.66201
48.52339;-3.57559
45.45786;1.78442
49.18122;6.91018
43.81424;5.54805
46.7236;2.4108
48.96279;4.70722
48.76251;0.21054
45.82418;3.322
47.43535;1.47418
48.42972;1.85092
46.81094;2.0164
47.66599;6.3988
48.75229;6.19726
49.49295;5.27689
47.22716;5.97426
46.93852;-0.61621
48.15523;4.54661
49.68836;4.1773
49.13088;5.39804
43.12285;2.44745
44.70092;6.09344
46.21477;6.69829
46.34474;5.14568
46.26953;1.89627
48.33837;4.28205
49.96308;2.65188
43.84464;7.41636
45.46355;2.55213
46.08946;1.89988
45.27779;4.21165
47.21631;-0.37037
42.39996;1.96916
45.7769;6.28252
49.23903;4.16706
