y;x
45.17889;-113.89833
39;-120
47.7116;1.62345
47.333;-113.582
46.08278;11.16583
41.3114;-72.9247
39.12;-114.29
41.38361;-72.02833
39.3659;-120.0759
47.2207;3.00784
43.7;-73.91
37.9326;-119.2402
41.96222;-72.84
41.87611;-72.31083
46.50111;11.34222
33.07639;-116.59889
48.8845;2.54276
41.4878;-73.4883
44.85178;-110.42195
41.4061;-72.4831
41.4267;-122.3854
41.4854;-72.2664
38.1533;-120.3676
46.78361;-120.97306
40;-120
47.8848;1.92559
32.4415;-110.7896
34.2018;-117.6618
47.3918;0.77391
41.51611;-72.83416
43.299;-94.856
47.05379;10.65938
51.93333;-120.03333
33;-117
52.83333;-120.03333
35;-119
48.824;2.21564
41.7869;-71.9544
41.69416;-72.53416
46.36667;11.03333
37.05528;-119.16833
46.8137;3.46469
46.64361;-88.47972
38;-120
42.47;-111.23
39.3324;-120.2827
48.22306;11.53111
41.6048;-122.9708
50.75;-119.583
31.67941;-110.56944
45.603;10.686
46.69083;10.54278
41.2069;-73.4399
43.453;-110.731
42.65;-111.65
38.50055;-78.44972
38.54;-107.68
47.3842;1.002
48.19889;-122.12389
39.15833;-120.66444
34.851;-119.1695
41.20444;-73.13027
41.76666;-70.7
38.4025;-120.1593
47.8561;26.0567
40.0509;-121.6054
44.95;-76.933
37;-119
33.51;-108.53
42.1;-7.1
40;-121
41.985;-73.42277
40.26972;-76.87388
40.8;-105.3
46.7761;3.06808
41.7299;-73.454
47.2494;0.11958
41.5852;-71.9227
45.08792;-109.32755
43.02416;-76.22333
34;-118
40.12522;-120.24642
37;-122
42.33333;-72.66666
38;-123
38.65972;-119.72083
41.5275;-73.12388
41.92694;-73.99722
48.105;-122.79
40.71916;-74.83694
42.307;-93.642
38.361;-112.594
47.8417;2.22081
41.60972;-70.26611
45.94917;12.90583
32.83;-108.33
48.9173;2.75942
53.16713;-0.12989
38;-119
42.295;-71.301
40.87056;-121.86833
40.4;-105.38
39.178;-119.778
39.63083;-121.13944
41.63333;-71.49972
44.417;-80.717
47.5859;1.30705
41.76666;-73.11666
38.7768;-120.2794
39.66;-96.127
45.895;11.034
38.639;-112.608
42.581;-71.439
52.9;-99.517
40.218;-114.702
43.61222;-73.06083
38.35;-85.137
43.9331;-120.5538
40;-122
45.916;10.866
34;-117
45.736;-114.751
37;-120
38.07;-114.58
34.5497;-119.1656
46.1947;-111.634
48.54139;-123.0225
37.36722;-119.62611
36.86;-93.23
41.553;-70.569
42.87944;-88.47416
43.985;-121.337
39.99527;-75.35555
46.6248;3.75789
40.66777;-73.05472
38.44694;-122.72778
34.225;-116.93333
42.817;-80.2
39.223;-114.964
37.6987;-119.7546
39;-121
38.1677;-120.0741
43.127;-111.032
42.159;-73.422
42.1;-6.1
47.09903;-118.24888
41.281;-114.821
44.84;-83.395
46.9898;3.09272
40.73722;-72.87472
41.3334;-121.1322
45.583;-76.667
41.7628;-74.3327
48.6954;2.45962
41.68;-72.1739
40.44;-111.98
46.4901;4.03267
44.578;-116.664
40.54;-112.34
42.87444;-72.8625
50.75558;6.07706
40.64;-115
46.25444;-117.67306
48.67778;-117.58667
51.66667;-122.38333
45.067;-76.283
39.644;-119.836
45.083;-76.45
38;-121
46.6126;11.1564
41;-121
38.1533;-120.8263
48.301;-116.55
38.124;-116.073
44.326;-114.041
47.27985;11.42455
47.7409;2.74081
39.686;-117.219
49.59625;17.25231
43.33444;-75.74805
43.91836;-79.4133
41.24444;-77.02111
37.704;-85.827
46.2213;4.07083
34.368;-85.637
41.9492;-121.9317
45.38333;-73.51667
46.35972;13.11222
45.58333;-65.05
39.67777;-78.23444
50.75;-120.98333
50.767;-120.75
35.1981;-111.6513
47.4865;2.93532
39.8467;-121.572
38.58112;-79.90651
48.4;-83.5
