y;x
50.83;5.9
41.81;2.27
42.52;0.8
42.26;1.78
42.27;2.63
43.07;-1.89
42.63;-3.24
42.97;-4.96
42.08;1.42
42.77;-0.18
41.54;1.68
43.41;-6.52
43.5;-5.47
43.34;-8.13
42.81;-8.63
40.27;-5.11
40.92;-3.47
53.41554;-2.04514
42.7;-7.04
43.08;-3.24
43.35;-2.75
42.71;-1.41
43.26;-2.38
51.3272;-0.46626
38.57;-2.42
42.68;-5.8
43.13;-6.04
40.99;-1.21
43.52;-7.76
43.06;-7.28
63.43996;10.65415
59.11481;11.39726
63.72498;9.77342
62.9648;8.08365
63.36497;10.09511
59.08214;9.74919
61.20927;7.07322
62.5782;9.26858
62.19121;6.6786
59.94001;5.61929
59.05273;11.01983
58.11805;8.20682
59.54343;10.65783
67.04063;14.05062
59.76288;10.02627
60.58421;5.23311
58.09636;7.26119
61.18278;10.31267
58.12059;6.74539
60.80044;10.96128
47.78826;-2.01154
48.36368;-1.11972
48.4335;-1.6668
47.90476;-1.35215
61.23837;6.55176
58.34194;6.26523
59.57213;6.65441
59.19548;5.81811
58.90471;8.95089
59.36474;8.97078
63.07956;7.7433
48.59641;-2.08895
46.75011;-0.86594
48.3963;-0.0404
48.83842;-0.3389
48.03314;-0.15381
48.01755;-0.6899
45.54118;1.26994
45.99499;1.51412
47.54529;-1.32285
47.91721;-3.09741
48.33655;-3.68762
46.35334;1.37431
46.79996;-1.92006
46.07706;0.99421
46.1826;2.28697
45.73311;2.42135
45.1002;2.04649
45.09295;1.41095
48.38616;-4.37198
45.37395;2.68061
44.92418;3.06337
48.70289;7.69088
44.74325;2.55786
47.81978;7.21136
61.0804;25.97784
60.97141;24.50381
60.24286;24.01755
61.01694;22.37409
60.1446;23.38861
60.53456;25.26639
60.25068;24.37823
60.17058;24.92524
61.33831;24.19506
60.51973;21.43942
60.04951;19.97948
59.94233;20.8997
61.16117;28.49229
60.81648;23.77105
60.54785;22.16492
61.06546;25.04282
60.28869;20.79878
61.48862;23.52327
61.97586;25.75732
48.02565;6.42189
48.83455;6.47501
46.6346;2.6732
57.782;14.15953
53.45034;-1.47292
51.46122;-1.06643
53.89901;-1.31508
54.08013;-2.38216
54.07528;-0.85362
54.34978;-1.61534
53.71579;-0.86342
53.80048;-0.40556
53.81086;-1.77217
54.4373;-1.15194
48.00111;16.29139
53.46;10.42
53.36;10.08
52.96;9.08
52.86;8.42
52.76;12.75
52.66;11.25
51.66;8.75
51.66;14.42
51.56;12.25
51.36;6.92
51.36;13.08
50.96;7.42
50.96;12.92
50.76;6.42
54.36;10.42
53.76;9.08
52.16;7.42
51.96;7.92
51.86;11.58
48.96;8.92
48.86;9.58
48.76;10.42
48.56;12.08
48.36;9.08
48.16;7.92
48.06;9.75
47.86;7.58
47.66;11.58
50.76;9.08
50.56;10.08
50.46;8.42
50.26;12.08
50.16;10.25
47.56;9.58
49.96;8.08
49.86;7.25
49.76;6.58
49.76;12.08
49.66;11.42
49.46;9.75
49.36;8.92
49.16;12.25
48.76;8.25
48.76;13.75
48.66;13.25
48.56;12.58
48.36;11.58
48.26;11.08
53.96;12.58
53.76;7.75
53.36;7.42
53.26;9.42
53.16;13.25
53.06;11.92
52.96;10.42
52.56;13.58
52.46;11.92
52.16;10.58
51.86;9.58
51.56;10.42
51.46;8.08
51.26;9.58
51.16;12.25
51.06;8.42
50.86;10.58
50.76;7.08
50.56;11.58
49.96;8.75
49.56;8.58
42.8862;-4.2368
43.3785;-4.4813
41.1616;0.4137
54.6693;-5.73
52.48064;-6.56565
53.00302;-9.11865
50.82067;5.24886
50.78774;4.62424
50.765;4.00753
51.21892;3.99685
51.32694;4.68463
51.10337;2.96974
50.96068;3.57901
51.24734;5.29279
50.74634;3.20712
53.19558;-6.17603
49.44417;7.76972
54.5484;13.2483
54.1484;12.0819
53.9485;12.9151
53.9485;13.7483
53.8485;10.7487
53.8485;11.2487
53.5485;12.0819
53.3485;11.2487
52.46255;-1.9264
51.11374;-1.92856
50.64346;-4.19249
51.91318;-0.47328
51.11322;-2.35718
51.92199;-2.50899
54.25501;-3.15136
51.71272;0.67818
50.54162;-4.75242
52.16508;-4.55902
51.47328;-2.21599
51.18529;-4.07499
50.74057;-3.77176
54.43316;-0.68947
50.75039;-1.07851
54.88763;-2.70159
51.28991;-2.93225
50.38098;-3.75833
52.5497;-1.18878
52.06117;1.13676
52.41205;1.45581
52.86912;1.19478
52.43125;0.72156
55.76949;-4.15218
51.92037;-1.20018
52.79381;0.59579
50.74918;-3.06323
55.42824;-1.60492
50.66304;-1.50474
51.90905;-3.81738
53.48518;-2.73852
54.70273;-3.31921
50.66235;-2.63676
51.36503;0.08311
55.56958;-5.09317
52.38661;-4.03535
54.52894;-2.54088
