site,x,y,country
KRAP,15.8632,46.1654,Croatia
CAOU,1.8785,50.1305,France
WAZI,3.1131,50.3869,France
NEUM,11.8997,51.3244,Germany
TAUB,11.3772,50.9508,Germany
WPAR,11.3239,50.9806,Germany
HORK,19.7167,49.1,Slovakia
BOLO,-0.24945,39.06165,Spain
CAST,-3.965,43.29,Spain
LEZE,-2.5038,43.0753,Spain
KARA,30.5708,37.0775,Turkey
VAUF,1.163266,44.805128,France
ANGE,-4.433,37.406,Spain
ESTR,-3.640178,40.325785,Spain
CULE,-3.603351,40.300386,Spain
CARI,-3.429,37.448,Spain
YEZU,24.807616,49.041378,Ukraine
PAYR,4.749213,44.681659,France
PECH,4.202035,44.405234,France
GANO,20.291667,40.045278,Slovakia
TABU,34.9794,32.6718,Israel
GOUB,-1.319822,49.686134,France
BURG,10.7333,51.0667,Germany
ESSK,35.038377,32.726741,Israel
KABA,34.07822,44.82612,Crimea
GERM,-1.8972,49.7136,France
GROB,12.4519,51.699,Germany
LEHR,9.5,52.8833,Germany
RABU,12.1667,51.45,Germany
VELT,10.6885,52.2112,Germany
CAVA,17.9182,40.237,Italy
POGG,15.1378,40.1725,Italy
MOLA,15.480675,40.039901,Italy
SACC,12.5333,41.95,Italy
CARA,-4.1519,43.335,Spain
VERD,-3.885,43.4053,Spain
OYAM,-4.336467,43.39231,Spain
RAMA,-3.46,43.26,Spain
SOMO,-3.9433,43.4698,Spain
VELY,25.525,49.641667,Ukraine
MARC,4.541111,44.331944,France
FLAN,4.403426,44.303556,France
MARA,4.563509,44.321473,France
MOUL,4.850029,44.88782,France
VETE,15.874212,45.840609,Croatia
SUBA,20.383333,47.933333,Hungary
CRVE,18.481,42.779,Monte Negro
NIET,19.774631,50.193967,Poland
BETA,14.2,45.766667,Slovenia
