y;x
48.2783;0.46869
48.7226;1.61678
47.5508;2.33088
53.35103;-8.66543
52.2651;-7.01938
52.12539;-8.01533
52.32631;-7.45071
51.977;-9.46331
42.1;-6.1
41.1;-2.1
41.1;-8.1
42.1;-3.1
43.1;-6.1
40.1;-2.1
42.1;-0.9
41.1;2.1
41.1;1.1
40.1;-0.1
47.2443;0.43007
55.50339;-4.41875
47.0443;1.02575
48.5358;2.00582
51.6469;-0.77135
58.16317;7.07088
58.23956;6.64795
59.71774;5.13147
54.24469;-5.83137
55.02886;-6.0786
54.30625;-6.66713
54.14689;-6.28653
52.89255;0.15562
55.15723;-2.70631
52.91531;-8.37168
51.00016;0.35182
55.15864;-1.60759
52.90136;-6.1421
55.14814;-3.64775
50.53461;-5.03432
50.84291;-2.49716
53.27056;-2.52487
52.73228;-2.07405
50.83616;-3.34927
52.19281;-2.07315
53.81047;-1.62029
54.34625;-3.00005
52.4598;-1.19044
52.46145;-2.51519
53.52881;-0.26489
50.8232;-4.2009
50.84031;-2.92326
52.189;-2.95094
51.89559;0.54367
51.63463;0.09544
54.07955;-2.53502
50.415;5.811
50.59169;-1.9894
51.03262;-0.95169
51.3841;-1.22034
53.71579;-0.86342
54.16768;-1.15746
54.43316;-0.68947
53.36102;-1.6243
53.35875;-1.1735
54.35037;-1.92307
53.26;7.58
50.66;7.75
53.66;10.75
52.56;7.92
52.36;10.25
51.86;8.08
50.66;7.08
49.66;6.75
53.26;11.08
51.86;6.75
48.46;7.92
43.0276;-2.7177
42.8105;-6.8964
43.6034;-5.8992
43.1686;-3.8857
43.1274;-4.4015
59.59882;5.61783
42.8;-1.89
42.18;2.63
42.88;-1.16
39.37;-4.62
39.92;-7.94
42.51;0.44
48.9;-0.67
41.54;1.8
41.73;2.63
43.26;-3.49
41.1;-3.23
43.34;-7.39
48.6131;-1.68283
47.66152;-2.8009
46.07927;1.12356
45.36113;1.27554
45.81493;1.51897
47.78247;-2.14481
47.8149;-1.34479
48.30287;-0.16996
48.71821;-1.28382
48.29659;-4.35941
47.26553;-1.56525
47.8023;0.19689
48.4622;2.4653
48.6509;0.85976
46.9462;4.30719
47.8108;0.67505
46.2805;4.13343
47.0443;3.54441
48.8022;2.97257
47.5868;1.16749
46.9418;4.90642
47.635;2.68386
47.8953;3.32784
46.5893;1.42372
47.0174;3.20441
48.104;2.81341
47.0106;1.55238
48.9095;4.46222
40.3;-5.9
60.32605;6.17715
60.19208;5.74177
47.79106;-122.38382
45.71833;-121.46667
52.24688;-9.01096
52.29759;-6.66686
54.94536;-7.45458
54.79784;-6.89683
52.73336;-7.1857
53.54205;-7.17026
54.26314;-8.3837
50.307;4.137
42.47205;-0.62799
50.68;4.8
51.62358;-0.33853
48.2121;1.01607
48.6496;1.25291
48.1825;1.37711
48.0179;2.30613
49.1204;3.92383
48.5394;4.94609
46.5056;5.23175
47.3773;4.05139
52.37866;6.88799
52.98975;6.55626
50.77098;5.86369
51.68016;3.70263
52.15794;6.23268
51.89787;4.07745
51.9282;4.53064
55.86675;-3.67804
58.17531;-5.14619
52.81828;-2.96461
52.06117;1.13676
50.37112;-4.32056
50.17534;-5.01148
51.02329;-1.64351
