y;x
33.23933;35.68059
32.9379;35.47152
40.1;-8.1
43.1;-4.1
41.1;0.1
43.17;-2.5
43.42;-4.85
43.5;-6.27
42.27;-8.87
43.61;-7.88
43.35;-3.37
41.59;1.98
50.9337;-1.78652
49.95648;-6.25303
53.37629;-2.88697
51.49428;-2.62667
47.38818;-0.64656
44.03333;9.83333
43.1;-7.1
39.1;2.1
43.1;-6.1
42.1;2.1
45.02;-5.91
43.5;-5.47
43.17;-3.49
43.35;-2.75
35.5208;139.369
51.10885;-3.07146
36.583;-5.029
41.1;-8.1
50.46372;-4.18416
50.5382;-4.89338
51.01024;-0.21798
52.0128;-2.21858
32.74238;35.02068
33.04278;35.18814
43.5;-6.52
52.09372;-7.60459
38.77689;-0.52512
36.8;-4.295
52.18625;-7.38738
51.9267;-8.36346
38;-6
50.26516;-5.01715
-25.35;-57.48
50.15948;-5.5707
50.90735;0.4894
43.52;-7.63
43.58;-5.97
43.07;-2.14
52.09707;-9.53238
48.812;2.5255
-37.78155;174.85018
51.96743;1.27584
53.36045;-1.47403
52.25166;-7.08044
36;-5
37.92;-6.61
50.84377;-2.21307
43.4312;-3.6672
57.2609;16.4629
51.7429;-0.19654
42.1;-5.1
38.1;-9.1
43.1;-5.1
43.1;-3.1
52.40767;1.60256
50.66149;-1.22175
46.84141;9.53098
47.4174;0.60252
42.1;-8.1
53.35875;-1.1735
43.33;-6.9
53.99083;-2.07627
36.10705;-5.53418
36.64696;-5.57413
50.56283;-3.62387
42.324;-1.732
39.40707;-0.50298
43.3669;-3.8516
41.46;2.4
43.43;-7.39
47.09088;-1.41841
42.72;-8.63
42.99;-8.5
51.00555;0.06696
50.66407;-2.07075
51.63196;0.23984
38.2;-6.9
52.1411;-7.93573
47.65;-122.3
38.05892;-0.66347
50.74918;-0.93677
37.04;-3.67
42.18;2.51
43.25;-1.89
43.1;-8.1
59.37004;18.0471
51.34807;-2.96933
51.7063;-8.52872
39.03908;-0.16944
52.81699;-3.11299
41.54;1.8
51.10589;-0.64289
47.4659;5.34718
48.7507;2.35433
38.76907;-0.18015
41.1;2.1
39.5871;-0.49653
42.18;2.75
48.3148;2.0045
51.54476;-4.09131
41.1;-5.1
37.31;-4.47
43.39;-1.7
53.24907;-4.32342
50.75142;-2.77974
43.25;-4.6
40.71;0.51
48.4353;1.45819
-41.27388;173.3045
42.1;-2.1
51.89923;-8.17578
35.1408;139.091
48.0805;2.83886
50.28888;-3.89533
38.1;-2.1
41.887;12.498
41.73;2.39
41.36;1.92
42.36;-8.63
52.36844;-6.57663
43.3;-2.08
46.71009;-1.91191
42.1;-7.1
51.89236;-4.68886
43.087;-2.711
52.55228;-2.22125
52.71545;-3.9988
54.32371;-4.53741
43.35;-8.25
39.1;-8.1
42.1;-3.1
4.77;-75.61639
50.74453;-3.48839
53.24285;-4.62289
43.31866;11.33051
43.37;-6.1
46.96813;-2.19898
38;0
52.67225;1.7723
53.80048;-0.40556
43.5003;-5.6964
51.74215;-1.49303
51.19404;-3.50283
53.3491;-3.7278
-16.52;-68.08
43.17;-8.87
42.44;-7.41
-39.91405;175.08803
43.48;-1.45
52.34936;-6.89277
50.38302;-3.61772
40.1;-5.1
39;0
40.1;-8.8
51.88537;0.97914
46.49694;11.33833
40.27;-5.87
51.4655;-3.36775
40.38;-3.71
36.53492;-5.32471
43.42;-5.1
42.27;3
47.2414;2.0864
43.26;-2.26
42.95;-5.81
50.65789;-3.20266
37.1;-5.1
36.33583;28.0625
