y;x
49.61;6.14
48.39;15.51
48.3;14.03
52;20
49.41;6.38
38.68686;-0.52822
40.5661;-0.0235
51.60937;4.70147
49.3;10.4
48.81146;19.71436
51.91;4.5
55.00185;14.92183
56.5878;16.4193
49.95648;-6.25303
45.86347;24.85693
47.18;16.42
51.12497;13.45827
51.1858;14.2
35.5042;133.994
48.98;7.38
48.05;14.08
43.98135;7.56292
57.4033;18.9153
51.76;5.73
46.53;11.25
48.05;12.95
48.92;6.63
42.73;2.93
50.5;9.25
49.7833;9.18333
48.04;16.26
46.95;13.25
46.96;11.5
49.016;-122.716
52.08;4.3
48.75;6.05
49.92;6.06
47.05;15.42
49;31
42.46321;1.50395
56.9495;18.159
49.13867;9.21098
48.3;14.29
48.13;16.94
47.47;2.88
51.02497;13.87495
40.96367;-81.33122
51.17496;12.95825
51.53;6.13
49.11;6.63
46.63;10.62
56.14146;12.34434
57.2046;16.955
48.32;16.36
49.04;5.99
49.67;6.67
48.65;5.82
47.92;16.61
41.27944;-72.81556
51.4958;9.38222
55.24042;12.24743
48.54365;11.69013
47.35;16.42
46.61;13.84
56.1577;15.8234
48.71;7.18
60.15872;21.3109
49.72;6.41
47.86;16.24
56.3281;16.5247
43.85333;-72.58867
51.07;5.28
60.45563;26.72435
46.72;15.77
52.13846;1.58077
42.33169;-70.89644
48.34271;8.82129
47.85105;19.69313
48.75;15.95
43.16;6.53
54.97776;12.57803
38.58625;-0.07254
49;7.8
51.19639;5.98091
46.62;14.31
56.1609;15.3781
57.5657;18.2701
48.6713;10.68034
48.3;16.82
50.25291;7.44492
43.16;-4.6
54.78802;12.1227
39.9001;15.7789
49.92443;10.90196
55.4234;12.39276
51;13
46.30867;7.80033
47.71;13.48
47.45;12.25
48.39;14.55
50.89167;5.76382
48.97;14.48
46.95;6.81667
50.43786;7.19472
45.95;10.92
57.977;19.2353
49.18;6.97
49.12;6.18
52.38676;9.97121
51.81435;0.10377
55.18157;15.07852
46.68;11.07
47.94;16.84
44.28416;7.39742
52.16666;-2.05
48;13.65
46.89;15.97
48.75;6.87
52.1;6.31
47.41;9.74
46.96;15.78
48.17;15.99
48.57;9.81
50.76;7.7
43.12;5.8
50.12087;9.90565
51.98;4.13
51.12497;13.62495
50.79124;-1.12737
50.7;12.45
38.60145;-0.76079
40.4197;16.5078
47.26;11.39
58.446;16.6015
47.6;19.366
41.39903;-72.61877
48.88;7.1
46.1;0.48333
48.23;13.01
38.51555;-0.99282
47.23;9.59
56.6298;16.6403
47.98;15.17
47.01;16.48
49.22;6.42
47.07;16.06
39.76713;-0.49001
51.75003;4.14566
51.81902;3.93808
50.91567;0.06297
43.40353;28.2047
48.51;13.78
40.62066;-80.16891
56.85472;16.62233
46.83;12.76
48.31;14.76
55.96212;-159.35141
35.5042;134.244
48.81;15.49
47.26;14.92
51.68499;0.76843
49.48;5.46
46.83;15.56
40.49808;-74.43494
49.02611;8.2375
47.67;16.58
57.1306;12.2695
48.8619;10.9967
51.79837;9.6749
51.96329;1.42115
51.93405;5.54004
48.2;13.48
47.74;16.84
47.54;15.56
51.52496;12.54158
48.2574;11.5452
39.14596;-0.97503
43.13304;-72.52607
41.4783;19.7178
55.98715;9.88159
49.3333;14.3333
40.63522;-75.99477
59.83235;22.26913
48.37;4.73
49.4188;6.8433
45.1;16.2
47.92;13.35
51.32498;14.37496
40.04842;-1.06579
40.58571;-79.88141
48.54;16.9
48.29;7.38
51.47497;13.12493
47.47;11.98
52.29192;0.29499
40.10339;-82.88807
52.49016;-0.2243
39.86633;-0.95401
47.21;15.63
51.78077;5.95961
41.77593;-73.40929
43.63433;-72.5535
40.21455;-0.35608
60.17194;22.33757
51.06962;1.21199
46.72;11.66
51.42499;14.87498
48.6;15.17
46.63;14.14
48.03;14.41
47.37;16.12
50.08333;7.76667
50;8.25
46.82;11.24
42.21275;-71.11304
47.17;14.66
48.85;16.59
41.42167;-72.9975
47.5;14
50.90962;-1.35276
47.83;12.59
39.8481;16.3036
48.31;16.63
43.70222;-72.29
48.57388;20.40625
49.3866;10.16873
50.53;5.4
39.87174;-79.49226
52.3305;1.1558
49.68363;10.94607
48.57;13.53
47.83;13.07
60.44245;27.006
43.14;6.29
49.25412;8.27039
48.58;7.67
54.60475;12.01923
45.24032;34.39551
61.16471;28.57607
52.15475;0.99711
56.3752;16.0266
46.88571;8.46191
47.8;16.06667
46.55;11.42
52.93495;4.72972
52.37435;4.89526
51.37497;13.45827
46.23;15.27
53.41666;14.58333
49.28932;8.70671
50.95615;0.74054
48.09;13.87
48;7.33
47.48;16.74
53.44958;-1.32233
51.36979;-0.20405
42.92;3.03
46.84141;9.53098
48.21;14.48
51.4331;0.51069
52.93844;-6.22703
