y;x
66.87726;15.63325
60.98711;11.89197
64.38032;10.84687
64.23161;12.63386
69.76893;24.86203
69.1732;19.22051
61.25895;10.06815
70.51069;25.17432
60.51788;9.15845
69.37362;21.31985
60.14022;9.4159
60.69249;8.34678
70.08083;24.285
61.17748;10.59352
62.14129;10.79168
65.03967;12.25114
64.10595;14.00463
60.43392;10.54945
59.20233;8.7899
68.46617;16.6993
60.8618;11.10596
70.31229;25.86169
64.57154;11.6174
66.9068;14.83093
59.69602;9.06024
64.67832;13.55203
70.47299;27.91469
62.65629;9.87617
64.48815;12.28592
64.01637;11.77871
67.58994;15.39254
59.2935;8.07481
59.5211;10.95134
59.76368;11.7767
59.853;9.92282
70.15782;29.28696
58.39751;7.1214
66.03185;13.77779
62.76215;11.18267
60.27353;8.75052
60.8109;10.27563
69.95464;28.58199
61.36016;7.22134
70.13424;23.40715
69.21483;19.7778
65.45357;14.10472
63.3332;11.90043
69.14332;20.1309
69.85547;30.31162
69.2756;20.54628
63.4702;11.19811
69.33766;24.93826
63.16546;10.28321
61.62932;24.63086
69.58239;29.91146
62.23751;12.03992
70.47955;26.50512
61.51144;11.06736
60.83431;10.74935
65.32584;12.65529
59.9335;10.37241
65.61388;13.40887
63.91521;10.28421
61.54118;6.46019
59.40004;6.1765
45.97953;5.38987
49.60402;3.20741
69.94819;23.03865
59.51455;9.59372
46.09103;6.21112
44.72208;0.78984
59.70488;7.75779
68.36455;17.56222
70.13424;25.28176
60.73307;12.38305
60.16688;11.71781
63.87648;10.8016
62.94534;10.67116
58.93064;7.751
61.52356;7.69526
61.12879;8.60176
67.96669;16.49094
65.06577;13.19286
70.68498;26.05546
69.2692;21.97084
67.5881;15.8673
69.01329;18.88557
61.34824;12.19527
60.96126;9.28234
68.401;17.91229
69.79744;20.77945
63.87105;11.42018
63.24315;8.77505
61.72174;12.01559
60.04302;12.11815
58.6825;9.03448
69.732;29.12383
59.58041;10.46778
61.91957;9.00811
62.27638;23.5964
59.14578;24.43126
62.37688;6.43421
68.9205;18.52549
70.53061;24.24364
59.28035;11.77774
62.13317;10.30404
59.59565;8.62695
69.13392;23.43519
61.19816;6.88433
48.13623;0.37812
52.6857;23.7878
65.40446;12.25006
68.0215;15.33999
66.42905;14.13719
63.54295;9.74231
68.89773;23.79227
61.86098;9.41438
49.41337;20.86019
62.09465;11.42885
69.1403;17.98647
69.77164;22.47984
70.06768;22.04449
70.03888;27.10203
68.5528;18.50167
69.81708;26.1099
65.80934;14.18643
63.31943;10.83857
59.19381;9.96523
46.15068;5.78624
61.01085;27.40851
69.87622;21.60053
64.14846;12.26836
46.54188;3.84824
48.42124;4.82481
69.77548;30.66877
64.79244;12.70024
60.37056;11.2504
69.75496;25.54611
68.67696;15.69
47.03641;6.35914
48.84215;-0.20277
66.70849;13.43933
63.12543;8.41112
69.70852;22.02319
63.08578;9.80193
70.21578;24.8313
58.73727;23.5286
58.71073;8.63234
65.85733;13.04313
70.5596;29.71127
48.55;10.183
45.839;15.8707
48.4;9.7667
48.31666;122.36666
70.04467;27.43804
69.99351;21.23672
68.76135;17.30582
68.17159;15.95195
62.69432;11.75338
58.02267;27.47589
-17.8444;-64.4106
69.59017;23.043
66.43477;14.72205
48.88406;3.47726
47.967;20.4717
53.6405;10.2055
50.95;11.38
70.76526;27.42453
60.57383;6.46347
66.35055;15.21
42.76064;2.0848
47.467;7.5833
69.69198;19.65225
61.90969;8.16811
62.77629;8.07913
60.25167;9.9268
44.97428;0.0184
46.44827;4.23763
64.19065;13.37954
61.66097;22.15276
58.42756;6.30217
69.50386;18.52739
61.27763;12.79876
64.35031;11.19999
68.52499;16.34866
68.97332;22.46822
60.01801;11.16897
61.93119;5.21717
60.35005;12.50627
67.09322;15.28088
60.81395;9.75367
59.9475;5.9034
46.30472;6.70437
40.167;20.1
48.43372;3.60837
49.0778;13.25449
45.133;23.0233
61.67714;9.98873
59.97258;10.72237
58.73129;6.75963
53.2439;23.3518
69.4535;24.36606
59.18294;26.77912
43.06344;-0.61981
37;22.5833
70.07588;28.01257
70.52481;26.99744
59.0042;9.43171
60.36651;25.56845
50.433;5.01667
45.21675;6.88719
58.54883;8.05843
53.72469;21.52326
65.09109;11.884
59.58583;11.33238
61.08;7.8976
49.28368;-0.50524
69.29873;23.94623
62.24171;9.70049
59.15511;11.30474
69.07556;24.39002
44.5;-108
42.71938;-0.11022
42.92305;0.85834
52.5628;23.3832
55;-100
66.22711;13.34983
60.59043;11.65288
67.32894;14.93537
60.19032;6.62084
69.33414;22.65301
61.87386;6.87756
50.717;7.1667
61.95509;5.72948
53.64249;20.5111
61.79526;10.42815
62.83339;7.6945
61.31427;5.57596
40;-4
63.6715;12.26726
49.333;16.75
68.84194;25.03854
68.79033;19.72541
38.08;46.29167
47.7;8.6333
59.14968;25.01472
58.38007;7.47874
70.01221;26.67999
57.99866;6.52778
67.23332;14.48073
48.63145;19.42213
70.46169;28.74735
46.285;16.037
44.8762;13.891
59.68362;8.19436
43.30204;2.32256
50.183;19.833
48.78332;121.93332
35;51
58.43115;25.03135
48.817;16.6667
49.58561;21.33612
47.6692;18.9
59.83401;6.83944
62.51488;10.84709
46.78373;5.68761
69.74443;23.80006
69.51442;19.25112
70.84917;29.17217
48.17922;7.24005
62.58085;9.15571
62.30517;7.32589
69.27786;28.99952
59.15195;10.31119
46.99586;8.03128
70.62994;24.83505
60.76798;22.34619
46.23401;-6.05018
47.96933;4.9433
61.93953;6.28392
62.54568;24.04827
44.657;21.725
59.80787;7.19059
47.676;14.292
63.03762;9.2214
63.45305;9.28075
46.50395;6.06529
45.8667;18.45
58.00129;25.95481
47.79152;1.19679
43.37261;0.84161
58.93096;7.3757
46.59035;-6.20087
49.36279;21.93264
46.09756;7.63357
48.0667;9.25
64.50111;-165.40639
45.60062;6.14368
60.83595;21.25217
69.03646;25.74731
62.54381;10.35289
46.27616;8.02345
47.52535;4.52839
60.54287;6.05005
45.81933;4.09473
49.62548;19.62042
44.65;22.5
57.51619;26.41581
58.86136;26.04646
58.1227;24.53838
58.49915;25.71326
58.32586;27.08539
57.96664;26.9156
59.58119;26.20369
58.86345;26.39316
58.65751;24.32823
58.85437;22.64674
59.1993;23.53891
59.39703;25.67921
59.31038;27.96639
59.01016;24.0217
57.91268;25.48101
58.50419;26.39952
57.47253;27.16673
57.99539;24.96993
58.48484;24.68471
58.94415;25.34898
58.29545;24.18548
57.8754;26.41
58.40554;25.37443
58.50214;26.05686
59.13399;27.26227
59.04301;27.61013
58.68523;26.91375
58.94812;25.69644
58.84949;22.99318
58.50216;21.94381
58.94973;22.1298
59.37139;24.09185
59.5829;26.7345
59.57009;25.14179
