y;x
52.1186;16.7804
52.3162;15.6739
53.2395;19.7577
50.4588;20.5462
50.9647;21.4618
51.8574;18.726
50.69;-3.13977
51.32723;-0.1002
51.83717;-1.65889
46.36537;8.15438
46.08614;9.05589
46.2772;7.76396
47.35705;7.63815
46.27764;7.37471
47.71149;8.57238
46.99646;6.97937
46.18099;8.67008
46.45086;6.20296
47.35705;7.24101
46.69281;10.2513
46.43473;9.71712
47.71699;7.50622
47.08053;6.18842
40.06;-2.12
51.3672;9.43028
48.45;5.84
49.04;5.99
49.12;7.22
51.41;16.55
52.33;23.03
43.84686;6.51568
43.74223;6.89918
42.78848;-0.83621
37.97774;22.19528
39.86192;41.27375
51.39642;-2.38095
47.32486;9.9303
47.48333;11.1
51.3731;23.6243
51.2728;21.9002
53.2065;18.384
51.0054;19.895
53.37;20.6
49.39;20.4
50.8;20.46
49.21;5.44
49.85;6.46
42.36;2.64
51.28246;0.63227
51.53799;-1.17085
50.89733;-0.18674
50.53;19.53
46.72207;8.55159
46.90515;8.16156
47.53482;8.17012
47.07554;9.08575
47.0692;9.48066
46.36612;6.85475
50.86;5.83
43.73502;15.89521
40.20475;39.59903
39.54404;39.69838
38.69553;39.21558
51.32097;-2.98311
51.11322;-1.64282
53.1514;16.7379
51.5713;17.8291
51.9702;16.1227
50.7925;21.082
44.28134;7.39705
50.47;23.45
50.55082;-2.44468
50.79979;0.24948
50.66744;-1.48346
46.24639;10.09846
46.71757;8.94398
49.47;6.02
42.66;-7.11
40.42;-1.76
50.57639;6.7375
41.43301;2.13702
52.8608;18.0628
53.0165;15.9866
50.18;19.48
51.86464;-1.99274
47.79;3.65
52.7833;14.4167
51.47;21.44
44.4547;6.85588
51.2;16.2
51.5518;20.0055
52.2645;21.1696
52.5043;19.6486
42.93;-5.02
42.56;-0.5
44.97625;6.50784
43.35056;-3.59611
44.20073;15.68108
47.56054;12.44421
50.4483;22.875
50.7596;22.183
42.44457;1.13618
47.25;11.6
46.47678;11.77037
45.46478;13.97542
52.7481;20.4194
53.9229;19.3459
52.8;17.03
42.51;2.15
51.56126;-0.79458
52.58339;-0.46116
42.86;-2.57
51.76667;11.43333
42.92892;-5.95166
49.96206;11.5729
47.61698;8.9695
46.72703;7.76666
46.09103;6.21112
51.0563;17.1064
50.4572;17.9319
44.57444;6.08333
49.99583;8.11389
45.73;7.45
46.00552;6.7295
50.3988;20.0323
40.8198;41.54824
48.9;6.35
48.92;9.08
50.66512;-1.10141
36.64111;36.18333
52.9977;19.2316
42.25729;-2.97083
44.88372;15.6173
53.6496;17.144
49.73333;7.3
50.25;18.83
43.67436;3.52422
43.27678;27.09381
52.3935;17.2248
42.77;-3.67
46.96667;11
48.32604;8.1954
41.72847;20.94131
41.07809;42.8256
53.1341;21.2481
53.7;19.9667
42.49912;1.4913
49.01139;12.12667
53.7;18.34
42.44174;13.57548
47.35173;8.56473
50.9875;7.07639
44.96985;6.06791
51.2771;22.9489
52.3552;21.7259
51.3155;22.6099
51.56;15.54
48.91;5.05
44.11572;7.00569
50.13634;4.81553
50.70278;7.86667
53.1594;17.6364
43.31073;-5.05414
42.16111;14.0086
42.95197;11.83888
53.84;20.53
50.8704;23.0958
51.1082;18.8324
44.06667;7.86667
47.5;19.05
50.6534;18.3841
54.70789;-2.69848
49.42;6.38
43.39;-4.17
42.80196;0.46401
