tipo;x;y;presencia
robledal;477250;4116350;1
robledal;456750;4099150;1
robledal;456850;4101450;1
robledal;456850;4101250;1
robledal;456850;4101050;1
robledal;456850;4098750;1
robledal;456950;4100850;1
robledal;456950;4099250;1
robledal;456950;4099050;1
robledal;457050;4101450;1
robledal;457050;4101250;1
robledal;457050;4098850;1
robledal;457050;4098650;1
robledal;457050;4098450;1
robledal;457150;4099250;1
robledal;457150;4099050;1
robledal;457250;4101550;1
robledal;457250;4101350;1
robledal;457250;4101150;1
robledal;457350;4099250;1
robledal;457450;4101550;1
robledal;457450;4101350;1
robledal;457450;4101150;1
robledal;457550;4100950;1
robledal;457550;4099250;1
robledal;457650;4101750;1
robledal;457650;4101550;1
robledal;457650;4101350;1
robledal;457650;4101150;1
robledal;457750;4102150;1
robledal;457750;4101950;1
robledal;457750;4100950;1
robledal;457750;4099350;1
robledal;457850;4101750;1
robledal;457850;4101150;1
robledal;457950;4102250;1
robledal;457950;4102050;1
robledal;457950;4099450;1
robledal;457950;4099250;1
robledal;458150;4102350;1
robledal;458150;4102150;1
robledal;458150;4099550;1
robledal;458150;4099250;1
robledal;458350;4102350;1
robledal;458350;4102150;1
robledal;458350;4099550;1
robledal;458450;4099750;1
robledal;458550;4102450;1
robledal;458550;4102250;1
robledal;458550;4099550;1
robledal;458750;4102450;1
robledal;458950;4099950;1
robledal;459150;4099950;1
robledal;460750;4106450;1
robledal;460750;4089150;1
robledal;460850;4106050;1
robledal;460850;4089850;1
robledal;460850;4089350;1
robledal;460850;4088950;1
robledal;460950;4106450;1
robledal;460950;4106250;1
robledal;460950;4105850;1
robledal;460950;4089150;1
robledal;460950;4088750;1
robledal;461050;4106050;1
robledal;461050;4090150;1
robledal;461050;4088950;1
robledal;461150;4106350;1
robledal;461150;4105850;1
robledal;461150;4105650;1
robledal;461150;4105450;1
robledal;461150;4089750;1
robledal;461150;4089450;1
robledal;461150;4089250;1
robledal;461250;4106150;1
robledal;461250;4090250;1
robledal;461250;4090050;1
robledal;461250;4089050;1
robledal;461250;4088850;1
robledal;461350;4105950;1
robledal;461350;4105750;1
robledal;461350;4090450;1
robledal;461350;4089750;1
robledal;461350;4089450;1
robledal;461350;4089250;1
robledal;461350;4088650;1
robledal;461450;4106150;1
robledal;461450;4090150;1
robledal;461450;4089950;1
robledal;461450;4089050;1
robledal;461450;4088850;1
robledal;461550;4106350;1
robledal;461550;4105950;1
robledal;461550;4105750;1
robledal;461550;4090450;1
robledal;461550;4089650;1
robledal;461550;4089450;1
robledal;461550;4089250;1
robledal;461650;4090650;1
robledal;461650;4088850;1
robledal;461650;4088650;1
robledal;461750;4106450;1
robledal;461750;4106050;1
robledal;461750;4105850;1
robledal;461750;4090450;1
robledal;461750;4090250;1
robledal;461750;4089650;1
robledal;461750;4089050;1
robledal;461850;4090050;1
robledal;461850;4089450;1
robledal;461850;4089250;1
robledal;461850;4088850;1
robledal;461850;4088650;1
robledal;461950;4106050;1
robledal;461950;4105850;1
robledal;461950;4090750;1
robledal;461950;4090550;1
robledal;461950;4090350;1
robledal;461950;4089850;1
robledal;461950;4089650;1
robledal;461950;4089050;1
robledal;462050;4090150;1
robledal;462050;4089350;1
robledal;462050;4088650;1
robledal;462150;4106150;1
robledal;462150;4105850;1
robledal;462150;4105650;1
robledal;462150;4091050;1
robledal;462150;4090750;1
robledal;462150;4090550;1
robledal;462150;4090350;1
robledal;462150;4089950;1
robledal;462150;4089150;1
robledal;462150;4088950;1
robledal;462250;4090150;1
robledal;462250;4089750;1
robledal;462250;4089550;1
robledal;462250;4089350;1
robledal;462250;4088750;1
robledal;462350;4106050;1
robledal;462350;4105850;1
robledal;462350;4105650;1
robledal;462350;4091050;1
robledal;462350;4090850;1
robledal;462350;4090650;1
robledal;462350;4090350;1
robledal;462350;4089150;1
robledal;462350;4088950;1
robledal;462450;4090150;1
robledal;462450;4089950;1
robledal;462450;4089750;1
robledal;462450;4089550;1
robledal;462450;4088750;1
robledal;462550;4106150;1
robledal;462550;4105950;1
robledal;462550;4105750;1
robledal;462550;4091350;1
robledal;462550;4091150;1
robledal;462550;4090750;1
robledal;462550;4089150;1
robledal;462650;4090950;1
robledal;462650;4090450;1
robledal;462650;4090250;1
robledal;462650;4090050;1
robledal;462650;4089850;1
robledal;462650;4088950;1
robledal;462650;4088650;1
robledal;462750;4091550;1
robledal;462750;4091250;1
robledal;462750;4090750;1
robledal;462750;4089150;1
robledal;462850;4091050;1
robledal;462850;4090550;1
robledal;462850;4089850;1
robledal;462850;4089350;1
robledal;462950;4091550;1
robledal;462950;4091350;1
robledal;462950;4090850;1
robledal;462950;4090350;1
robledal;462950;4090050;1
robledal;462950;4089650;1
robledal;463050;4091150;1
robledal;463050;4090650;1
robledal;463050;4089850;1
robledal;463150;4091350;1
robledal;463150;4090850;1
robledal;463150;4090250;1
robledal;463150;4090050;1
robledal;463250;4091050;1
robledal;463250;4090650;1
robledal;463250;4089750;1
robledal;463350;4090850;1
robledal;463350;4090350;1
robledal;463350;4090150;1
robledal;463850;4091550;1
robledal;463850;4091350;1
robledal;463950;4091150;1
robledal;463950;4090950;1
robledal;463950;4090750;1
robledal;463950;4090550;1
robledal;464050;4091550;1
robledal;464050;4091350;1
robledal;464050;4089650;1
